파일명,카테고리,판정,사유,깃잡음,메치기시도,메치기기술,V넥,색상트림,전자호구,헤드기어,높은발차기,회전발차기,손기술중심,낮은자세손기술,깃형여밈,두꺼운캔버스,여밈,질의,메모
sparring\pexels-15222871.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
sparring\pexels-16552871.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
sparring\pexels-17041775.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
sparring\pexels-17892069.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
sparring\pexels-19406131.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
sparring\pexels-19406132.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
sparring\pexels-19406291.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
sparring\pexels-19449845.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
sparring\pexels-30777338.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-30777340.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-30788994.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-30788999.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo kick,
sparring\pexels-30789000.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-30789001.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo kick,
sparring\pexels-30858416.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-33122161.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo competition,
sparring\pexels-35018473.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo kick,
sparring\pexels-36563836.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo competition,
sparring\pexels-37901792.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-37901793.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-37901794.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-37901797.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-38233888.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-38234030.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo competition,
sparring\pexels-38963062.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-4761788.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-4804068.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
sparring\pexels-4804304.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-5081179.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo kick,
sparring\pexels-5895865.jpg,sparring,,,,,,,,,,,,,,,,,high kick martial arts,
sparring\pexels-6296010.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-6699094.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
sparring\pexels-7045474.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-7045475.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-7045516.jpg,sparring,,,,,,,,,,,,,,,,,martial arts fighter kick,
sparring\pexels-7045572.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo kick,
sparring\pexels-7045585.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo sparring,
sparring\pexels-7045746.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo kick,
sparring\pexels-7990087.jpg,sparring,,,,,,,,,,,,,,,,,taekwondo,
sparring\pexels-7991870.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
sparring\pexels-9027447.jpg,sparring,,,,,,,,,,,,,,,,,athlete kicking pad,
venue\pexels-2807152.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
venue\pexels-30651230.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-31744927.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-31747027.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-31747054.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-31756788.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-31855505.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-32424866.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-32471037.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-32681170.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-35588059.jpg,venue,,,,,,,,,,,,,,,,,sports competition crowd,
venue\pexels-36293742.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-4261764.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
venue\pexels-6077792.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6203533.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
venue\pexels-6203559.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
venue\pexels-6203584.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6539276.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6539282.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6539364.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6539486.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6541488.jpg,venue,,,,,,,,,,,,,,,,,indoor sports arena,
venue\pexels-6572654.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
venue\pexels-7156048.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
venue\pexels-7201151.jpg,venue,,,,,,,,,,,,,,,,,gymnasium wide shot,
